titel,prijs,slaapkamers,oppervlakte,perceeloppervlakte,plaats,link,foto,bron
Maison 4 pièces 107 m²,€ 195.000,Onbekend,107,,Brunehamel,https://www.bienici.com/annonce/vente/brunehamel/maison/4pieces/iad-france-948310,https://file.bienici.com/photo/iad-france-948310_images.playiad.com_property_broadcast_2026_06_15_019ecac601eb56c25b5acf4f5c2aeed2.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 7 pièces 214 m²,€ 129.000,3,214,1008,Rozoy-sur-Serre,https://www.bienici.com/annonce/vente/rozoy-sur-serre/maison/7pieces/safti-1-1688889,https://file.bienici.com/photo/safti-1-1688889_cdn.safti.fr_bien-photo_61_88_1688889_fa7dce0b65c9b49f3b077f0c242c118b2c8d283c_rg-2.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 7 pièces 194 m²,€ 178.000,4,194,,Brunehamel,https://www.bienici.com/annonce/vente/brunehamel/maison/7pieces/hektor-116_FUMAY-Agence1-8818,https://file.bienici.com/photo/hektor-116_FUMAY-Agence1-8818_cotefranceimmo.staticlbi.com_original_images_biens_116_e2e9ecbb026658ce0efcb869e75bced6_photo_1186690eafd824934c8ef15603b75ced.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 8 pièces 130 m²,€ 166.000,5,130,,Brunehamel,https://www.bienici.com/annonce/vente/brunehamel/maison/8pieces/safti-1-1704157,https://file.bienici.com/photo/safti-1-1704157_cdn.safti.fr_bien-photo_71_04_1704157_c4a5ee7a79be1ea1058dfc116b051f01264d5a2d_rg-2.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 183 m²,€ 187.500,4,183,,Parfondeval,https://www.bienici.com/annonce/vente/parfondeval/maison/6pieces/ag340369-527185241,https://file.bienici.com/photo/ag340369-527185241_photos.ubiflow.net_340369_527185241_photos_1.jpg_INSOON_EB_5512801818_20260429203520?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 160 m²,€ 184.000,4,160,,Brunehamel,https://www.bienici.com/annonce/vente/brunehamel/maison/6pieces/immo-facile-60438126,https://file.bienici.com/photo/immo-facile-60438126_media.immo-facile.com_office20_lateli_24062022_catalog_images_pr_p_6_0_4_3_8_1_2_6_60438126a.jpg_DATEMAJ_16_04_2026-09_49_58?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 100 m²,€ 86.000,Onbekend,100,1297,Mont-Saint-Jean,https://www.bienici.com/annonce/vente/mont-saint-jean/maison/5pieces/safti-1-1585621,https://file.bienici.com/photo/safti-1-1585621_cdn.safti.fr_bien-photo_51_85_1585621_c5f3f4f3ac717508d33c1e13643c38a6327c8201_rg-2.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 85 m²,€ 96.000,2,85,,Morgny-en-Thiérache,https://www.bienici.com/annonce/vente/morgny-en-thierache/maison/5pieces/ag060811-527915273,https://file.bienici.com/photo/ag060811-527915273_photos.ubiflow.net_60811_527915273_photos_1.jpg_INSOON_EB_5512801818_20260824102040?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 137 m²,€ 192.700,2,137,,Dohis,https://www.bienici.com/annonce/vente/dohis/maison/5pieces/safti-1-1685570,https://file.bienici.com/photo/safti-1-1685570_cdn.safti.fr_bien-photo_61_85_1685570_8493568e408460b861b8bb19e1bd621d1e01912c_rg-2.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 118 m²,€ 166.000,3,118,,Rozoy-sur-Serre,https://www.bienici.com/annonce/vente/rozoy-sur-serre/maison/5pieces/iad-france-1952190,https://file.bienici.com/photo/iad-france-1952190_images.playiad.com_property_broadcast_2025_11_21_019aa69ce1089a92ad604e8c068c5ecd.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 140 m²,€ 119.000,4,140,,Rozoy-sur-Serre,https://www.bienici.com/annonce/vente/rozoy-sur-serre/maison/6pieces/ag743447-540461645,https://file.bienici.com/photo/ag743447-540461645_photos.ubiflow.net_743447_540461645_photos_1.jpg_INSOON_EB_5512801818_20260713162145?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 105 m²,€ 110.600,Onbekend,105,,Rozoy-sur-Serre,https://www.bienici.com/annonce/vente/rozoy-sur-serre/maison/5pieces/safti-1-1648308,https://file.bienici.com/photo/safti-1-1648308_cdn.safti.fr_bien-photo_61_48_1648308_63d21d3ec2d331ccb19926f3812269e3872cd3b7_rg.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 3 pièces 82 m²,€ 155.000,Onbekend,82,231,Rozoy-sur-Serre,https://www.bienici.com/annonce/vente/rozoy-sur-serre/maison/3pieces/ag080279-509640314,https://file.bienici.com/photo/ag080279-509640314_photos.ubiflow.net_80279_509640314_photos_1.jpg_INSOON_EB_5512801818_20260430140308?width=300&height=180&fit=cover,Bien'ici
