titel,prijs,slaapkamers,oppervlakte,perceeloppervlakte,plaats,link,foto,bron
Maison 6 pièces 93 m²,€ 179.000,4,93,,Saint-Michel,https://www.bienici.com/annonce/vente/saint-michel/maison/6pieces/iad-france-996389,https://file.bienici.com/photo/iad-france-996389_images.playiad.com_property_broadcast_2026_08_16_01a00b376f485e9b2578513678686fcd.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 11 pièces 139 m²,€ 173.000,Onbekend,139,,Saint-Michel,https://www.bienici.com/annonce/vente/saint-michel/maison/11pieces/ag060811-524111330,https://file.bienici.com/photo/ag060811-524111330_photos.ubiflow.net_60811_524111330_photos_1.jpg_INSOON_EB_5512801818_20260413172715?width=300&height=180&fit=cover,Bien'ici
Maison 8 pièces 211 m²,€ 183.500,4,211,,Saint-Michel,https://www.bienici.com/annonce/vente/saint-michel/maison/8pieces/hektor-116_FUMAY-Agence1-8347,https://file.bienici.com/photo/hektor-116_FUMAY-Agence1-8347_cotefranceimmo.staticlbi.com_original_images_biens_116_092b29aaa3143937d3e7b70541242817_photo_e714b80dfac3729d93a29eb8d43bb0a6.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 120 m²,€ 140.000,3,120,,Saint-Michel,https://www.bienici.com/annonce/vente/saint-michel/maison/5pieces/ag340369-481594904,https://file.bienici.com/photo/ag340369-481594904_photos.ubiflow.net_340369_481594904_photos_1.jpg_INSOON_EB_5512801818_20250726123515?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 105 m²,€ 163.000,Onbekend,105,969,Saint-Michel,https://www.bienici.com/annonce/vente/saint-michel/maison/5pieces/adapt-immo-3011444923,https://file.bienici.com/photo/adapt-immo-3011444923_photos.exportadapt.com_30114_3011444923_1.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 102 m²,€ 129.000,Onbekend,102,,Saint-Michel,https://www.bienici.com/annonce/vente/saint-michel/maison/5pieces/adapt-immo-3011445107,https://file.bienici.com/photo/adapt-immo-3011445107_photos.exportadapt.com_30114_3011445107_18.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 7 pièces 140 m²,€ 89.900,Onbekend,140,,Saint-Michel,https://www.bienici.com/annonce/vente/saint-michel/maison/7pieces/adapt-immo-3011442033,https://file.bienici.com/photo/adapt-immo-3011442033_photos.exportadapt.com_30114_3011442033_11.jpg?width=300&height=180&fit=cover,Bien'ici
