titel,prijs,slaapkamers,oppervlakte,perceeloppervlakte,plaats,link,foto,bron
Maison 5 pièces 110 m²,€ 201.000,3,110,,Buironfosse,https://www.bienici.com/annonce/vente/buironfosse/maison/5pieces/safti-1-1698241,https://file.bienici.com/photo/safti-1-1698241_cdn.safti.fr_bien-photo_61_98_1698241_147f99785a251be83316b05744352100ad345161_rg-4.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 85 m²,€ 122.000,Onbekend,85,,Buironfosse,https://www.bienici.com/annonce/vente/buironfosse/maison/5pieces/ag743447-539507807,https://file.bienici.com/photo/ag743447-539507807_photos.ubiflow.net_743447_539507807_photos_1.jpg_INSOON_EB_5512801818_20260707105643?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 96 m²,€ 127.000,Onbekend,96,,Buironfosse,https://www.bienici.com/annonce/vente/buironfosse/maison/5pieces/adapt-immo-3011444233,https://file.bienici.com/photo/adapt-immo-3011444233_photos.exportadapt.com_30114_3011444233_1.jpg?width=300&height=180&fit=cover,Bien'ici
