titel,prijs,slaapkamers,oppervlakte,perceeloppervlakte,plaats,link,foto,bron
Maison 4 pièces 72 m²,€ 85.000,Onbekend,72,,Auvillers-les-Forges,https://www.bienici.com/annonce/vente/auvillers-les-forges/maison/4pieces/iad-france-973792,https://file.bienici.com/photo/iad-france-973792_images.playiad.com_property_broadcast_2026_07_28_019fa80866a1359c5e58eae4d7fa83fb.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 165 m²,€ 152.500,Onbekend,165,,Marby,https://www.bienici.com/annonce/vente/marby/maison/5pieces/iad-france-973657,https://file.bienici.com/photo/iad-france-973657_images.playiad.com_property_broadcast_2026_07_15_019f62d7cf67b1e8314d171df1275df1.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 181 m²,€ 164.900,Onbekend,181,729,Girondelle,https://www.bienici.com/annonce/vente/girondelle/maison/6pieces/iad-france-908767,https://file.bienici.com/photo/iad-france-908767_images.playiad.com_property_broadcast_2026_05_06_019dfe052870bbef493c792245da114b.png?width=300&height=180&fit=cover,Bien'ici
Maison 8 pièces 200 m²,€ 127.200,4,200,,Maubert-Fontaine,https://www.bienici.com/annonce/vente/maubert-fontaine/maison/8pieces/hektor-pyramidimmo-1891,https://file.bienici.com/photo/hektor-pyramidimmo-1891_pyramidimmo.staticlbi.com_original_images_biens_1_f8ae7bebee38653198bea0d0f086a48e_photo_d31548152c6605f89de73a073e99e71f.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 7 pièces 128 m²,€ 137.000,2,128,,Auvillers-les-Forges,https://www.bienici.com/annonce/vente/auvillers-les-forges/maison/7pieces/hektor-pyramidimmo-1827,https://file.bienici.com/photo/hektor-pyramidimmo-1827_pyramidimmo.staticlbi.com_original_images_biens_1_b2f2ecbb2ba096635cb33f446eabeab9_photo_de0b695844383bebf3273b121df963f0.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 4 pièces 87 m²,€ 93.000,Onbekend,87,672,Auvillers-les-Forges,https://www.bienici.com/annonce/vente/auvillers-les-forges/maison/4pieces/iad-france-1976562,https://file.bienici.com/photo/iad-france-1976562_images.playiad.com_property_broadcast_2025_12_26_019b5b9799c94d98e63e97808f65381c.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 8 pièces 200 m²,€ 175.000,4,200,,Antheny,https://www.bienici.com/annonce/vente/antheny/maison/8pieces/hektor-1_FUMAY-Agence1-8792,https://file.bienici.com/photo/hektor-1_FUMAY-Agence1-8792_cotefranceimmo.staticlbi.com_original_images_biens_1_c5a5ad113a5bad5a22ab463c5c8cb0fd_photo_7b909a9df2a1e3b6f526490695f4e1f4.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 97 m²,€ 86.000,Onbekend,97,,Maubert-Fontaine,https://www.bienici.com/annonce/vente/maubert-fontaine/maison/5pieces/netty-dupont-house-13190,https://file.bienici.com/photo/netty-dupont-house-13190_img.netty.immo_productw_dupont_2_VM13190_17843217417_VM13190_21_original.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 106 m²,€ 102.000,Onbekend,106,,Maubert-Fontaine,https://www.bienici.com/annonce/vente/maubert-fontaine/maison/5pieces/netty-dupont-house-13191,https://file.bienici.com/photo/netty-dupont-house-13191_img.netty.immo_productw_dupont_2_VM13191_17843217007_VM13191_1_original.jpg?width=300&height=180&fit=cover,Bien'ici
