titel,prijs,slaapkamers,oppervlakte,perceeloppervlakte,plaats,link,foto,bron
Maison 6 pièces 105 m²,€ 215.000,3,105,,Ville-sur-Lumes,https://www.bienici.com/annonce/vente/ville-sur-lumes/maison/6pieces/immo-facile-61276758,https://file.bienici.com/photo/immo-facile-61276758_media.immo-facile.com_office20_justimmo_141123_catalog_images_pr_p_6_1_2_7_6_7_5_8_61276758a.jpg_DATEMAJ_01_08_2026-19_29_10?width=300&height=180&fit=cover,Bien'ici
Maison 4 pièces 90 m²,€ 177.000,Onbekend,90,,Lumes,https://www.bienici.com/annonce/vente/lumes/maison/4pieces/iad-france-918209,https://file.bienici.com/photo/iad-france-918209_images.playiad.com_property_broadcast_2026_05_12_019e1df72b44ab46711f0e59a3aa78d6.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 113 m²,€ 170.000,Onbekend,113,578,Lumes,https://www.bienici.com/annonce/vente/lumes/maison/5pieces/ag311656-532497641,https://file.bienici.com/photo/ag311656-532497641_photos.ubiflow.net_311656_532497641_photos_1.jpg_INSOON_EB_5512801818_20260825122905?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 131 m²,€ 116.500,Onbekend,131,,Vivier-au-Court,https://www.bienici.com/annonce/vente/vivier-au-court/maison/5pieces/immo-facile-61334137,https://file.bienici.com/photo/immo-facile-61334137_media.immo-facile.com_office12_cabine_2102081130_catalog_images_pr_p_6_1_3_3_4_1_3_7_61334137a.jpg_DATEMAJ_18_08_2026-10_33_08?width=300&height=180&fit=cover,Bien'ici
Maison 7 pièces 115 m²,€ 149.000,Onbekend,115,,Vivier-au-Court,https://www.bienici.com/annonce/vente/vivier-au-court/maison/7pieces/safti-1-1622323,https://file.bienici.com/photo/safti-1-1622323_cdn.safti.fr_bien-photo_61_22_1622323_1a647ed68ee9a62370bc77e1b25337169d598016_rg-2.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 104 m²,€ 155.000,2,104,,Vivier-au-Court,https://www.bienici.com/annonce/vente/vivier-au-court/maison/5pieces/immo-facile-57670832,https://file.bienici.com/photo/immo-facile-57670832_media.immo-facile.com_office20_justimmo_141123_catalog_images_pr_p_5_7_6_7_0_8_3_2_57670832a.jpg_DATEMAJ_18_03_2025-10_06_51?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 115 m²,€ 139.800,Onbekend,115,374,Vivier-au-Court,https://www.bienici.com/annonce/vente/vivier-au-court/maison/5pieces/netty-company54396zsr-house-67935,https://file.bienici.com/photo/netty-company54396zsr-house-67935_img.netty.immo_productrtw_company54396zsr_2_VM67935_178777282739_VM67935_3_original.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 131 m²,€ 113.900,Onbekend,131,,Vivier-au-Court,https://www.bienici.com/annonce/produit-d-investissement/vivier-au-court/maison/6pieces/adapt-immo-030055482,https://file.bienici.com/photo/adapt-immo-030055482_photos.exportadapt.com_03005_030055482_11.jpg?width=300&height=180&fit=cover,Bien'ici
