titel,prijs,slaapkamers,oppervlakte,perceeloppervlakte,plaats,link,foto,bron
Maison 7 pièces 140 m²,€ 156.000,Onbekend,140,,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/7pieces/ag440414-546543860,https://file.bienici.com/photo/ag440414-546543860_photos.ubiflow.net_440414_546543860_photos_1.jpg_INSOON_EB_5512801818_20260824183116?width=300&height=180&fit=cover,Bien'ici
Maison 8 pièces 130 m²,€ 82.000,Onbekend,130,,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/8pieces/ag311656-531830555,https://file.bienici.com/photo/ag311656-531830555_photos.ubiflow.net_311656_531830555_photos_1.jpg_INSOON_EB_5512801818_20260825162857?width=300&height=180&fit=cover,Bien'ici
Maison 11 pièces 191 m²,€ 130.000,4,191,,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/11pieces/ag060811-527394542,https://file.bienici.com/photo/ag060811-527394542_photos.ubiflow.net_60811_527394542_photos_1.jpg_INSOON_EB_5512801818_20260905124734?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 90 m²,€ 99.990,3,90,,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/6pieces/ag440414-508633409,https://file.bienici.com/photo/ag440414-508633409_photos.ubiflow.net_440414_508633409_photos_1.jpg_INSOON_EB_5512801818_20260414004000?width=300&height=180&fit=cover,Bien'ici
Maison 13 pièces 229 m²,€ 132.500,Onbekend,229,,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/13pieces/ag340369-546695690,https://file.bienici.com/photo/ag340369-546695690_photos.ubiflow.net_340369_546695690_photos_1.jpg_INSOON_EB_5512801818_20260825183716?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 86 m²,€ 99.990,Onbekend,86,,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/5pieces/ag440414-530875514,https://file.bienici.com/photo/ag440414-530875514_photos.ubiflow.net_440414_530875514_photos_1.jpg_INSOON_EB_5512801818_20260605211352?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 88 m²,€ 95.000,Onbekend,88,360,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/6pieces/ag340369-511999862,https://file.bienici.com/photo/ag340369-511999862_photos.ubiflow.net_340369_511999862_photos_1.jpg_INSOON_EB_5512801818_20260204182156?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 125 m²,€ 135.990,Onbekend,125,,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/6pieces/ag440414-550814210,https://file.bienici.com/photo/ag440414-550814210_photos.ubiflow.net_440414_550814210_photos_1.jpg_INSOON_EB_5512801818_20260922114349?width=300&height=180&fit=cover,Bien'ici
Maison 8 pièces 205 m²,€ 90.990,1,205,,Hirson,https://www.bienici.com/annonce/vente/hirson/maison/8pieces/ag440414-547402448,https://file.bienici.com/photo/ag440414-547402448_photos.ubiflow.net_440414_547402448_photos_1.jpg_INSOON_EB_5512801818_20260830174343?width=300&height=180&fit=cover,Bien'ici
